Gender,Age  group  (years),Population  estimate  ('000),Current  smokers  (%),Daily  smokers  (%),Occasional  smokers  (%),Former  smokers  (%),Never  smokers  (%),Table_ID,Canada  (%),NL  (%),PE  (%),NS  (%),NB  (%),QC  (%),ON  (%),MB  (%),SK  (%),AB  (%),BC  (%),Age group (years),Population estimate ('000),Zero (%),One time (%),Two to three times (%),Four or more times (%),Switched to vaping  (%),Used nicotine replacement products  (%),Made deal with a friend/family member  (%),Reduced number of cigarettes you smoked  (%),Used a 1-800 quitline or a smokers helpline  (%),Used an internet-based program  (%),Used a smart phone app  (%),Tried to quit smoking on your own  (%),Unnamed: 9,Unnamed: 10,Unnamed: 11,Age group  (years),Any tobacco productFootnote 2  (%),Cigarettes  (%),Cigars  (%),Little cigars or cigarillos  (%),Pipe  (%),Chewing tobacco  (%),Water-pipe w/ tobacco  (%),Vaping  (%),Daily (%),Less than daily but at least once a week (%),Less than weekly but at least once in past month (%),Not at all (%),Vaped e-liquid with nicotine  (%),Vaped e-liquid without nicotine  (%),Vaped e-liquid with unknown nicotine content  (%),Tobacco  (%),Fruit  (%),Candy  (%),Dessert  (%),Mint or Menthol  (%),Flavourless  (%),No usual flavour  (%),Other  (%),Curiosity  (%),Because I enjoy it  (%),To reduce stress  (%),Smoking cessationFootnote 2  (%),To use where smoking is not allowed  (%),To avoid returning to smoking  (%),Social sourcesFootnote 2  (%),Retail sourcesFootnote 3  (%),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Vaping status,Unnamed: 0,Much less harmful than cigarettes (%),Somewhat less harmful than cigarettes (%),About the same as cigarettes (%),Somewhat more harmful than cigarettes (%),Much more harmful than cigarettes (%),Don't know (%),Daily  (%),Less than daily but at least once a week  (%),Less than weekly but at least once in past month  (%),Not at all  (%),Canada,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC
,,,,,,,,Table_10,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 10 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 10 note 1 referrer  Table 10 Note 2  Social sources include buying from a friend or family member, asking someone else to buy them for you, and having a friend or family member give or lend them to you.  Return to table 10 note 2 referrer  Table 10 Note 3  Retail sources include vape shops, convenience or gas, supermarkets, grocery stores, drug stores, and online sales.  Return to table 10 note 3 referrer  Table 10 Note *  Moderate sampling variability, interpret with caution.  Return to table 10 note * referrer  Table 10 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 10 note # referrer  Table 10 Note ↑  Rounds up to whole number.  Return to table 10 note ↑ referrer  Table 10 Note↓  Rounds down to whole number.  Return to table 10 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,
,Total,,38.3  [32.5-44.0],18.9  [14.4-23.3],19.4  [14.0-24.8],25.0  [20.0-30.0],36.7  [31.5-42.0],Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day use,,,,,,,,,,,,,,,,,,,,,,
,15-19,,19.4  [13.1-25.6],Footnote #,Footnote #,Footnote #,74.1  [67.3-80.9],Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day use,,,,,,,,,,,,,,,,,,,,,,
,20-24,,37.9  [29.2-46.6],Footnote #,27.0  [19.1-34.9],21.0Footnote *  [13.4-28.5],41.1  [32.2-50.1],Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day use,,,,,,,,,,,,,,,,,,,,,,
,25+,,48.9  [39.4-58.5],28.6  [20.4-36.7],Footnote #,36.8  [28.2-45.4],Footnote #,Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day use,,,,,,,,,,,,,,,,,,,,,,
,Total,,34.4  [26.5-42.3],15.3Footnote *  [9.6-21.1],19.0Footnote *  [12.4-25.7],47.0  [38.3-55.6],18.7  [13.2-24.1],Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily,,,,,,,,,,,,,,,,,,,,,,
,15-19,,Footnote #,Footnote #,Footnote #,Footnote #,63.4  [49.6-77.2],Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily,,,,,,,,,,,,,,,,,,,,,,
,20-24,,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily,,,,,,,,,,,,,,,,,,,,,,
,25+,,35.9  [24.5-47.3],Footnote #,Footnote #,60.5Footnote ↓  [48.8-72.1],Footnote #,Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily,,,,,,,,,,,,,,,,,,,,,,
,Total,,41.4  [33.3-49.5],21.7  [15.2-28.1],19.7Footnote *  [11.7-27.7],Footnote #,51.2  [43.3-59.1],Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occasional,,,,,,,,,,,,,,,,,,,,,,
,15-19,,Footnote #,Footnote #,Footnote #,Footnote #,78.9  [71.1-86.8],Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occasional,,,,,,,,,,,,,,,,,,,,,,
,20-24,,Footnote #,Footnote #,Footnote #,Footnote #,53.5Footnote ↓  [41.7-65.3],Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occasional,,,,,,,,,,,,,,,,,,,,,,
,25+,,64.2  [49.5-78.9],39.5Footnote ↑Footnote *  [24.6-54.4],Footnote #,Footnote #,Footnote #,Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occasional,,,,,,,,,,,,,,,,,,,,,,
,"[95% confidence intervals in brackets]  Table 11 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 11 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer Table 11 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer Table 11 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer Table 11 Note↓  Rounds down to whole number.  Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,"[95% confidence intervals in brackets]  Table 11 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 11 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer Table 11 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer Table 11 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer Table 11 Note↓  Rounds down to whole number.  Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 11 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 11 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer Table 11 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer Table 11 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer Table 11 Note↓  Rounds down to whole number.  Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 11 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 11 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer Table 11 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer Table 11 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer Table 11 Note↓  Rounds down to whole number.  Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 11 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 11 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer Table 11 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer Table 11 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer Table 11 Note↓  Rounds down to whole number.  Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 11 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 11 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer Table 11 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer Table 11 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer Table 11 Note↓  Rounds down to whole number.  Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",Table_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 11 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 11 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer Table 11 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer Table 11 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer Table 11 Note↓  Rounds down to whole number.  Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_12,,,,,,,,,,,,All ages,645,69.2  [62.0-76.4],Footnote #,Footnote #,12.4Footnote *  [8.1-16.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_12,,,,,,,,,,,,15-19,129,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_12,,,,,,,,,,,,20-24,105,59.0  [44.1-74.0],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_12,,,,,,,,,,,,25+,411,82.0  [73.1-90.9],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_12,,,,,,,,,,,,25-44,243,79.7 [66.8-92.6],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_12,,,,,,,,,,,,45+,169,85.2 [74.5-95.9],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_12,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 12 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 12 Note *  Moderate sampling variability, interpret with caution.  Return to table 12 note * referrer  Table 12 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 12 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 12 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 12 Note *  Moderate sampling variability, interpret with caution.  Return to table 12 note * referrer  Table 12 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 12 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 12 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 12 Note *  Moderate sampling variability, interpret with caution.  Return to table 12 note * referrer  Table 12 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 12 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 12 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 12 Note *  Moderate sampling variability, interpret with caution.  Return to table 12 note * referrer  Table 12 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 12 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 12 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 12 Note *  Moderate sampling variability, interpret with caution.  Return to table 12 note * referrer  Table 12 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 12 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 12 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 1 note 1 referrer  Table 12 Note *  Moderate sampling variability, interpret with caution.  Return to table 12 note * referrer  Table 12 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 12 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,All ages,30905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,4.3  [3.8-4.8],14.0  [13.1-14.9],31.5Footnote ↑  [30.2-32.8],9.1  [8.3-9.8],12.7  [11.9-13.6],28.4  [27.2-29.7],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,15-19,2816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,7.1  [5.4-8.8],27.8  [25.0-30.7],30.0  [27.2-32.9],11.5Footnote ↑  [9.4-13.6],8.2  [6.4-10.0],15.4  [13.0-17.7],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,20-24,1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,10.1  [7.8-12.3],28.4  [25.2-31.6],32.4  [29.1-35.7],9.5Footnote ↓  [7.5-11.5],7.4  [5.5-9.2],12.2  [9.8-14.7],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,25+,26284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,3.6  [3.0-4.1],11.5Footnote ↓  [10.5-12.5],31.6  [30.1-33.1],8.8  [7.9-9.6],13.6  [12.6-14.6],31.0  [29.5-32.4],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,25-44,9986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,5.0  [3.8-6.2],17.2  [15.1-19.3],35.6  [32.8-38.5],7.5Footnote ↑  [6.0-9.0],10.0  [8.2-11.7],24.7  [22.1-27.2],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,45+,16298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,2.7  [2.1-3.2],8.0  [7.0-9.0],29.2  [27.5-30.8],9.5Footnote ↑  [8.5-10.5],15.8  [14.6-17.0],34.8  [33.1-36.5],,,,,,,,,,,,,,,
